Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,11121,0,9,17.95142611800075,5.160416003491264,270.43294200120727,11816.0,5.8024732539741875,0.0,9,11,14,17,36,67,120,150,220,250,270
GET,/api/cart,33647,1,6,13.309598473165705,3.667545002826955,360.4828300012741,24.002110143549203,17.555599098684425,0.000521758228034726,6,7,9,11,25,54,95,140,230,290,360
POST,/api/cart,66883,0,9,16.077720997968715,5.555736999667715,338.38744799868437,118.19716519892947,34.89675556564658,0.0,9,11,13,15,27,54,100,140,220,310,340
POST,/api/checkout,22383,1,71,90.2701580697216,29.0752010041615,697.1877770047286,1640.1944332752535,11.678514418101273,0.000521758228034726,71,93,110,130,170,210,260,300,440,560,700
GET,/api/data/,4624,25,8,17.385233772716568,5.016754003008828,369.5560209962423,201.7701124567474,2.412610046432573,0.01304395570086815,8,10,13,16,35,69,120,150,240,370,370
GET,/api/data/?contextKeys=accessories,4769,24,9,17.614638716215364,4.898614002740942,365.9398890013108,301.5808345565108,2.4882649894976083,0.012522197472833424,9,11,13,16,33,66,120,160,310,370,370
GET,/api/data/?contextKeys=assembly,4851,17,9,17.62745254255285,5.245585001830477,380.9835159991053,88.76169861884148,2.531049164196456,0.008869889876590343,9,11,13,15,34,65,120,170,280,380,380
GET,/api/data/?contextKeys=binoculars,4774,27,9,16.97394120218818,5.287986998155247,419.7225740063004,82.64935064935065,2.490873780637782,0.014087472156937602,9,11,13,15,32,63,120,150,260,420,420
GET,/api/data/?contextKeys=books,4783,22,9,17.966870055753304,5.0788779990398325,387.1803459987859,201.3357725277023,2.4955696046900946,0.011478681016763971,9,11,13,16,36,69,130,170,270,390,390
GET,/api/data/?contextKeys=telescopes,4728,24,9,17.556203753216007,5.208438000408933,371.8199819995789,105.56852791878173,2.4668729021481846,0.012522197472833424,9,11,13,16,35,64,120,160,250,370,370
GET,/api/data/?contextKeys=travel,4833,20,9,17.251373726873073,4.858537999098189,325.5037010021624,128.55307262569832,2.521657516091831,0.01043516456069452,9,11,13,16,34,66,110,150,220,330,330
GET,/api/product-reviews/0PUK6V6EV0,2292,0,33,48.81227319379914,22.54808299767319,410.161560997949,1038.0,1.195869858655592,0.0,33,40,48,56,88,140,210,240,330,410,410
GET,/api/product-reviews/1YMWWN1N4O,2121,0,33,49.170048317302204,22.068881000450347,511.1289880005643,1073.0,1.1066492016616538,0.0,33,39,47,56,96,140,190,240,400,510,510
