Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5766,0,8,13.824917764135705,5.325186000845861,270.9077619983873,11816.0,3.4361700124071857,0.0,8,9,10,11,17,41,100,130,190,270,270
GET,/api/cart,17518,0,6,10.508703808870802,3.7336420027713757,215.39554400078487,24.0,10.439616073074761,0.0,6,6,7,8,13,31,81,120,190,210,220
POST,/api/cart,35057,0,9,12.3825337612106,6.144158000097377,302.2769769995648,118.12542430898252,20.89174681320824,0.0,9,10,10,11,16,29,59,86,170,250,300
POST,/api/checkout,11636,0,48,60.22192687958853,28.556704997754423,343.57537100004265,1646.1595909247164,6.934317423581341,0.0,48,60,68,75,100,130,180,210,300,330,340
GET,/api/data/,2460,0,7,12.50289116423067,5.115435000334401,244.54454900114797,201.98252032520324,1.4660038554494756,0.0,7,8,9,9,13,33,100,140,230,240,240
GET,/api/data/?contextKeys=accessories,2532,0,8,13.035374086884238,5.179482999665197,239.23436400218634,303.0,1.50891128536507,0.0,8,8,9,10,15,40,99,140,200,240,240
GET,/api/data/?contextKeys=assembly,2511,0,8,13.160742663068838,5.495273999258643,200.280909999492,89.0,1.496396618306355,0.0,8,8,9,10,15,45,110,130,200,200,200
GET,/api/data/?contextKeys=binoculars,2517,0,8,12.843183514857014,5.4318069996952545,241.63157099974342,83.0,1.4999722374659878,0.0,8,8,9,10,14,31,110,140,220,240,240
GET,/api/data/?contextKeys=books,2552,0,8,13.640154758206968,5.201607997150859,294.06945099981385,202.2539184952978,1.5208300158971795,0.0,8,8,9,10,16,44,98,160,210,290,290
GET,/api/data/?contextKeys=telescopes,2453,0,8,13.084862510413345,5.011686000216287,211.10039200357278,106.0,1.4618322997632371,0.0,8,8,9,10,16,37,110,130,190,210,210
GET,/api/data/?contextKeys=travel,2573,0,8,13.23049464125152,5.279700999381021,251.08641000042553,129.0,1.5333446829558945,0.0,8,8,9,10,16,43,100,130,220,250,250
GET,/api/product-reviews/0PUK6V6EV0,1159,0,28,38.497859194110106,23.248876997968182,323.02625000011176,1038.0,0.6906904343357488,0.0,28,31,34,37,62,100,150,180,260,320,320
GET,/api/product-reviews/1YMWWN1N4O,1230,0,28,36.79248879351933,23.22558800005936,309.01149599958444,1073.0,0.7330019277247378,0.0,28,31,33,35,56,92,130,170,220,310,310
GET,/api/product-reviews/2ZYFJ3GM2N,1191,0,28,36.70437736108329,23.222138999699382,257.52193799962697,1049.0,0.7097604031871242,0.0,28,31,33,36,50,95,150,170,220,260,260
GET,/api/product-reviews/66VCHSJNUP,1149,0,28,37.37042542038671,23.382408002362354,227.4632830012706,1043.0,0.684731069069694,0.0,28,31,33,36,56,98,160,170,230,230,230
GET,/api/product-reviews/6E92ZMYYFZ,1190,0,28,36.627269901673415,22.97442599956412,239.51126000247314,1076.0,0.7091644666605187,0.0,28,30,33,35,53,86,150,190,220,240,240
GET,/api/product-reviews/9SIQT8TOJO,1145,0,28,37.218106553656156,22.624113997153472,269.5231679990684,1060.0,0.6823473229632722,0.0,28,31,33,36,56,94,140,170,260,270,270
GET,/api/product-reviews/HQTGWGPNH4,1178,0,28,37.80600234376479,22.77020999827073,288.49601299953065,1081.0,0.7020132283412529,0.0,28,30,33,36,54,110,160,180,270,290,290
GET,/api/product-reviews/L9ECAV7KIM,1188,0,27,35.98346046120281,22.882178996951552,202.77013499980967,993.0,0.7079725936073077,0.0,27,30,32,35,54,89,140,160,190,200,200
GET,/api/product-reviews/LS4PSXUNUM,1237,0,28,36.38154351335825,23.336068999924464,241.72650399850681,1060.0,0.7371734834109761,0.0,28,30,32,35,51,85,150,180,240,240,240
GET,/api/product-reviews/OLJCESPC7Z,1167,0,28,37.81318033591988,23.07310700052767,239.67797600016638,1060.0,0.6954579265485927,0.0,28,31,34,37,62,100,150,170,240,240,240
GET,/api/products/0PUK6V6EV0,9479,0,6,10.58928331165115,3.804744999797549,261.0895319994597,421.0,5.648882335693325,0.0,6,6,7,8,14,32,78,120,200,260,260
GET,/api/products/1YMWWN1N4O,9338,1,6,10.435148409392834,3.8185439989320002,218.93696899860515,887.9150781751981,5.564855285441952,0.0005959365266054779,6,6,7,8,14,32,76,120,200,220,220
GET,/api/products/2ZYFJ3GM2N,9314,0,6,10.694068850355238,3.6654449977504555,275.47658600087743,556.0,5.550552808803421,0.0,6,6,7,8,14,33,79,120,190,280,280
GET,/api/products/66VCHSJNUP,9209,0,6,10.691408963286609,3.7150540010770783,238.2193979974545,494.0,5.487979473509846,0.0,6,6,7,8,15,34,76,110,190,240,240
GET,/api/products/6E92ZMYYFZ,9454,0,6,10.621932914423104,3.7963519971526694,289.3701359971601,475.0,5.633983922528188,0.0,6,6,7,8,15,32,79,120,200,290,290
GET,/api/products/9SIQT8TOJO,9336,0,6,10.40525823808008,3.6893479991704226,290.98957299902395,778.0,5.563663412388742,0.0,6,6,7,8,13,29,75,120,190,290,290
GET,/api/products/HQTGWGPNH4,9509,0,6,10.752071285174724,3.615053999965312,276.03529099724256,739.0,5.666760431491489,0.0,6,6,7,8,14,33,78,120,200,280,280
GET,/api/products/L9ECAV7KIM,9527,0,6,10.761162064963427,3.827125998213887,280.03996800180175,735.0,5.677487288970387,0.0,6,6,7,8,14,33,81,120,190,280,280
GET,/api/products/LS4PSXUNUM,9270,0,6,10.354955246916104,3.786607998335967,227.9352990008192,529.0,5.52433160163278,0.0,6,6,7,8,13,30,75,110,190,230,230
GET,/api/products/OLJCESPC7Z,9249,0,6,10.420070034048525,3.8777910012868233,240.23281799964025,506.0,5.511816934574065,0.0,6,6,7,8,15,31,72,110,190,240,240
GET,/api/recommendations?productIds=0PUK6V6EV0,1753,0,28,39.7033934791629,12.466421001590788,284.3073429994547,2542.964061608671,1.0446767311394027,0.0,28,31,36,41,73,110,160,190,280,280,280
GET,/api/recommendations?productIds=1YMWWN1N4O,1826,0,28,40.30536956192226,12.243437999131856,301.14409499947214,2324.421686746988,1.0881800975816025,0.0,28,32,38,43,71,110,170,200,290,300,300
GET,/api/recommendations?productIds=2ZYFJ3GM2N,1791,0,28,39.38308049804474,11.453384002379607,291.28373400089913,2477.0904522613064,1.0673223191504109,0.0,28,32,36,41,68,110,160,190,270,290,290
GET,/api/recommendations?productIds=66VCHSJNUP,1722,0,28,39.740907363567125,12.07400099883671,340.6826969985559,2504.8403019744483,1.0262026988146329,0.0,28,31,37,42,70,110,170,190,290,340,340
GET,/api/recommendations?productIds=6E92ZMYYFZ,1752,0,28,41.36198759934382,10.745879997557495,311.91362800018396,2518.3504566210045,1.0440807946127972,0.0,28,32,38,43,80,120,170,210,300,310,310
GET,/api/recommendations?productIds=9SIQT8TOJO,1778,0,28,39.84443347468612,11.736382999515627,317.51691400131676,2372.4898762654666,1.0595751443045396,0.0,28,32,36,42,74,120,160,190,280,320,320
GET,/api/recommendations?productIds=HQTGWGPNH4,1749,0,28,39.650921612349556,10.369858002377441,334.0483909996692,2403.232132647227,1.0422929850329807,0.0,28,31,36,42,69,120,160,180,280,330,330
