NAME                                             READY   STATUS    RESTARTS        AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
load-generator-worker-cdc7df7c5-22xp6            1/1     Running   0               33m     10.0.21.149   ip-10-0-26-151.ec2.internal   <none>           <none>
metrics-server-56f6f67555-zcd64                  1/1     Running   1 (7h31m ago)   7h32m   10.0.40.1     ip-10-0-36-4.ec2.internal     <none>           <none>
opensearch-0                                     1/1     Running   0               86m     10.0.46.109   ip-10-0-36-4.ec2.internal     <none>           <none>
otel-collector-agent-246dl                       1/1     Running   0               18h     10.0.45.1     ip-10-0-46-45.ec2.internal    <none>           <none>
otel-collector-agent-4xbkd                       1/1     Running   0               39h     10.0.40.0     ip-10-0-36-4.ec2.internal     <none>           <none>
otel-collector-agent-5lrtg                       1/1     Running   0               3h26m   10.0.45.114   ip-10-0-36-190.ec2.internal   <none>           <none>
otel-collector-agent-5w9pk                       1/1     Running   0               64m     10.0.19.146   ip-10-0-22-227.ec2.internal   <none>           <none>
otel-collector-agent-rh5bv                       1/1     Running   0               44m     10.0.21.145   ip-10-0-26-151.ec2.internal   <none>           <none>
otel-collector-agent-x7l6h                       1/1     Running   0               27h     10.0.26.132   ip-10-0-27-114.ec2.internal   <none>           <none>
payment-6cb6c5999c-qsdxp                         1/1     Running   0               45m     10.0.19.148   ip-10-0-22-227.ec2.internal   <none>           <none>
payment-6cb6c5999c-txbrb                         1/1     Running   0               86m     10.0.45.118   ip-10-0-36-190.ec2.internal   <none>           <none>
product-catalog-d84f55998-hztl5                  1/1     Running   0               86m     10.0.45.119   ip-10-0-36-190.ec2.internal   <none>           <none>
product-catalog-d84f55998-lj7c2                  1/1     Running   0               45m     10.0.20.144   ip-10-0-22-227.ec2.internal   <none>           <none>
product-reviews-58686f5fd9-dqgt6                 1/1     Running   0               84m     10.0.45.11    ip-10-0-46-45.ec2.internal    <none>           <none>
product-reviews-58686f5fd9-nxxlk                 1/1     Running   0               45m     10.0.19.156   ip-10-0-22-227.ec2.internal   <none>           <none>
prometheus-795bcb887b-vt6xv                      1/1     Running   0               7h32m   10.0.26.142   ip-10-0-27-114.ec2.internal   <none>           <none>
prometheus-adapter-cfff85f69-mbr8q               1/1     Running   0               7h32m   10.0.46.101   ip-10-0-36-4.ec2.internal     <none>           <none>
quote-6f568d756c-8xn5s                           1/1     Running   0               86m     10.0.45.123   ip-10-0-36-190.ec2.internal   <none>           <none>
quote-6f568d756c-hsq69                           1/1     Running   0               45m     10.0.19.152   ip-10-0-22-227.ec2.internal   <none>           <none>
recommendation-5f65666784-625mf                  1/1     Running   0               45m     10.0.19.155   ip-10-0-22-227.ec2.internal   <none>           <none>
recommendation-5f65666784-ksxkg                  1/1     Running   0               86m     10.0.45.122   ip-10-0-36-190.ec2.internal   <none>           <none>
shipping-567ccf6f47-bkcxx                        1/1     Running   0               45m     10.0.19.151   ip-10-0-22-227.ec2.internal   <none>           <none>
shipping-567ccf6f47-lxbdp                        1/1     Running   0               86m     10.0.45.5     ip-10-0-46-45.ec2.internal    <none>           <none>
shopping-copilot-b4b49f685-h9m8g                 1/1     Running   0               33m     10.0.24.176   ip-10-0-26-151.ec2.internal   <none>           <none>
techx-corp-kube-state-metrics-56c7fd85b9-dvx4r   1/1     Running   0               7h32m   10.0.26.131   ip-10-0-27-114.ec2.internal   <none>           <none>
