NAME                                             READY   STATUS    RESTARTS     AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
product-reviews-58686f5fd9-p8snq                 1/1     Running   0            7m28s   10.0.44.80    ip-10-0-38-109.ec2.internal   <none>           <none>
prometheus-795bcb887b-vt6xv                      1/1     Running   0            8h      10.0.26.142   ip-10-0-27-114.ec2.internal   <none>           <none>
prometheus-adapter-cfff85f69-mbr8q               1/1     Running   0            8h      10.0.46.101   ip-10-0-36-4.ec2.internal     <none>           <none>
quote-6f568d756c-8xn5s                           1/1     Running   0            116m    10.0.45.123   ip-10-0-36-190.ec2.internal   <none>           <none>
quote-6f568d756c-hsq69                           1/1     Running   0            75m     10.0.19.152   ip-10-0-22-227.ec2.internal   <none>           <none>
recommendation-5f65666784-625mf                  1/1     Running   0            74m     10.0.19.155   ip-10-0-22-227.ec2.internal   <none>           <none>
recommendation-5f65666784-ksxkg                  1/1     Running   0            116m    10.0.45.122   ip-10-0-36-190.ec2.internal   <none>           <none>
runtime-hardening-inventory-29742125-fdwhw       0/1     Error     0            13m     10.0.46.97    ip-10-0-36-4.ec2.internal     <none>           <none>
runtime-hardening-inventory-29742130-5jlk5       0/1     Error     0            8m22s   10.0.46.97    ip-10-0-36-4.ec2.internal     <none>           <none>
runtime-hardening-inventory-29742135-cq649       0/1     Error     0            3m22s   10.0.46.97    ip-10-0-36-4.ec2.internal     <none>           <none>
shipping-567ccf6f47-bkcxx                        1/1     Running   0            75m     10.0.19.151   ip-10-0-22-227.ec2.internal   <none>           <none>
shipping-567ccf6f47-jpz6z                        1/1     Running   0            17m     10.0.37.240   ip-10-0-40-214.ec2.internal   <none>           <none>
shopping-copilot-b4b49f685-h9m8g                 1/1     Running   0            62m     10.0.24.176   ip-10-0-26-151.ec2.internal   <none>           <none>
techx-corp-kube-state-metrics-56c7fd85b9-dvx4r   1/1     Running   0            8h      10.0.26.131   ip-10-0-27-114.ec2.internal   <none>           <none>
