LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
25m         Normal    Started                pod/cart-6cbfb749cf-99stt                        Container started
25m         Normal    Created                pod/cart-6cbfb749cf-99stt                        Container created
25m         Warning   FailedScheduling       pod/cart-6cbfb749cf-92hdl                        0/9 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/9 nodes are available: 2 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
25m         Normal    TaintManagerEviction   pod/cart-6cbfb749cf-99stt                        Cancelling deletion of Pod techx-corp-prod/cart-6cbfb749cf-99stt
25m         Normal    Pulling                pod/cart-6cbfb749cf-99stt                        Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f"
25m         Normal    Started                pod/otel-collector-agent-nrrj7                   Container started
25m         Normal    Created                pod/otel-collector-agent-nrrj7                   Container created
25m         Normal    Pulled                 pod/otel-collector-agent-nrrj7                   Successfully pulled image "otel/opentelemetry-collector-contrib:0.151.0" in 4.722s (4.722s including waiting). Image size: 88803327 bytes.
25m         Normal    Started                pod/cart-6cbfb749cf-99stt                        Container started
25m         Normal    Created                pod/cart-6cbfb749cf-99stt                        Container created
25m         Normal    Pulled                 pod/cart-6cbfb749cf-99stt                        Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" in 2.207s (2.207s including waiting). Image size: 50820594 bytes.
25m         Warning   FailedScheduling       pod/cart-6cbfb749cf-92hdl                        0/10 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/10 nodes are available: 3 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
25m         Warning   Unhealthy              pod/cart-6cbfb749cf-99stt                        Readiness probe failed: timeout: failed to connect service "10.0.35.81:8080" within 3s: context deadline exceeded
25m         Warning   Unhealthy              pod/cart-6cbfb749cf-99stt                        Liveness probe failed: dial tcp 10.0.35.81:8080: connect: connection refused
25m         Warning   Unhealthy              pod/cart-6cbfb749cf-99stt                        Readiness probe failed: timeout: health rpc did not complete within 3s
25m         Normal    Pulling                pod/cart-6cbfb749cf-92hdl                        Pulling image "busybox:1.37.0"
25m         Normal    SuccessfulCreate       daemonset/otel-collector-agent                   Created pod: otel-collector-agent-k8d2p
25m         Normal    Scheduled              pod/otel-collector-agent-k8d2p                   Successfully assigned techx-corp-prod/otel-collector-agent-k8d2p to ip-10-0-17-103.ec2.internal
25m         Normal    Pulling                pod/otel-collector-agent-k8d2p                   Pulling image "otel/opentelemetry-collector-contrib:0.151.0"
25m         Normal    Scheduled              pod/cart-6cbfb749cf-92hdl                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-92hdl to ip-10-0-17-103.ec2.internal
25m         Normal    TaintManagerEviction   pod/cart-6cbfb749cf-92hdl                        Cancelling deletion of Pod techx-corp-prod/cart-6cbfb749cf-92hdl
25m         Normal    Started                pod/cart-6cbfb749cf-92hdl                        Container started
25m         Normal    Created                pod/cart-6cbfb749cf-92hdl                        Container created
25m         Normal    Pulled                 pod/cart-6cbfb749cf-92hdl                        Successfully pulled image "busybox:1.37.0" in 523ms (523ms including waiting). Image size: 1911349 bytes.
25m         Normal    Pulling                pod/cart-6cbfb749cf-92hdl                        Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f"
25m         Normal    Started                pod/otel-collector-agent-k8d2p                   Container started
25m         Normal    Created                pod/otel-collector-agent-k8d2p                   Container created
25m         Normal    Pulled                 pod/otel-collector-agent-k8d2p                   Successfully pulled image "otel/opentelemetry-collector-contrib:0.151.0" in 5.823s (5.823s including waiting). Image size: 88803327 bytes.
25m         Normal    Pulled                 pod/cart-6cbfb749cf-92hdl                        Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" in 2.721s (2.721s including waiting). Image size: 50820594 bytes.
25m         Normal    Created                pod/cart-6cbfb749cf-92hdl                        Container created
25m         Normal    Started                pod/cart-6cbfb749cf-92hdl                        Container started
25m         Warning   Unhealthy              pod/cart-6cbfb749cf-92hdl                        Readiness probe failed: timeout: failed to connect service "10.0.27.240:8080" within 3s: context deadline exceeded
25m         Warning   Unhealthy              pod/cart-6cbfb749cf-92hdl                        Liveness probe failed: dial tcp 10.0.27.240:8080: connect: connection refused
25m         Warning   Unhealthy              pod/cart-6cbfb749cf-92hdl                        Readiness probe failed: timeout: health rpc did not complete within 3s
24m         Normal    SuccessfulRescale      horizontalpodautoscaler/checkout                 New size: 6; reason: cpu resource utilization (percentage of request) above target
24m         Normal    ScalingReplicaSet      deployment/checkout                              Scaled up replica set checkout-5f59884d8 from 5 to 6
24m         Normal    SuccessfulCreate       replicaset/checkout-5f59884d8                    Created pod: checkout-5f59884d8-8gpz8
24m         Normal    Scheduled              pod/checkout-5f59884d8-8gpz8                     Successfully assigned techx-corp-prod/checkout-5f59884d8-8gpz8 to ip-10-0-37-197.ec2.internal
24m         Normal    Pulling                pod/checkout-5f59884d8-8gpz8                     Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f"
24m         Normal    Pulled                 pod/checkout-5f59884d8-8gpz8                     Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f" in 1.042s (1.042s including waiting). Image size: 9514321 bytes.
24m         Normal    Started                pod/checkout-5f59884d8-8gpz8                     Container started
24m         Normal    Created                pod/checkout-5f59884d8-8gpz8                     Container created
23m         Normal    ScalingReplicaSet      deployment/cart                                  Scaled up replica set cart-6cbfb749cf from 7 to 9
23m         Warning   FailedScheduling       pod/cart-6cbfb749cf-gfdwh                        0/10 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/10 nodes are available: 2 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
23m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-gfdwh
23m         Warning   FailedScheduling       pod/cart-6cbfb749cf-x88bh                        0/10 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/10 nodes are available: 2 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
23m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-x88bh
23m         Normal    Nominated              pod/cart-6cbfb749cf-x88bh                        Pod should schedule on: nodeclaim/stateless-spot-k9sr8
23m         Normal    Nominated              pod/cart-6cbfb749cf-gfdwh                        Pod should schedule on: nodeclaim/stateless-spot-8nqqg
23m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-gfdwh                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
23m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-x88bh                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
23m         Normal    SuccessfulCreate       job/runtime-hardening-inventory-29742115         Created pod: runtime-hardening-inventory-29742115-h9bpw
23m         Normal    Scheduled              pod/runtime-hardening-inventory-29742115-h9bpw   Successfully assigned techx-corp-prod/runtime-hardening-inventory-29742115-h9bpw to ip-10-0-36-4.ec2.internal
23m         Normal    Pulled                 pod/runtime-hardening-inventory-29742115-h9bpw   Container image "public.ecr.aws/docker/library/python:3.13.5-alpine3.22" already present on machine and can be accessed by the pod
23m         Normal    Created                pod/runtime-hardening-inventory-29742115-h9bpw   Container created
23m         Normal    SuccessfulCreate       cronjob/runtime-hardening-inventory              Created job runtime-hardening-inventory-29742115
23m         Normal    Started                pod/runtime-hardening-inventory-29742115-h9bpw   Container started
23m         Warning   FailedScheduling       pod/cart-6cbfb749cf-gfdwh                        0/11 nodes are available: 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/11 nodes are available: 3 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
23m         Warning   FailedScheduling       pod/cart-6cbfb749cf-x88bh                        0/11 nodes are available: 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/11 nodes are available: 3 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
23m         Warning   FailedScheduling       pod/cart-6cbfb749cf-x88bh                        0/12 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/12 nodes are available: 4 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
23m         Warning   FailedScheduling       pod/cart-6cbfb749cf-gfdwh                        0/12 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/12 nodes are available: 4 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
23m         Normal    SawCompletedJob        cronjob/runtime-hardening-inventory              Saw completed job: runtime-hardening-inventory-29742115, condition: Failed
23m         Warning   BackoffLimitExceeded   job/runtime-hardening-inventory-29742115         Job has reached the specified backoff limit
23m         Normal    SuccessfulCreate       daemonset/otel-collector-agent                   Created pod: otel-collector-agent-wbrhx
23m         Normal    Scheduled              pod/otel-collector-agent-wbrhx                   Successfully assigned techx-corp-prod/otel-collector-agent-wbrhx to ip-10-0-31-4.ec2.internal
23m         Normal    Pulling                pod/otel-collector-agent-wbrhx                   Pulling image "otel/opentelemetry-collector-contrib:0.151.0"
23m         Normal    SuccessfulCreate       daemonset/otel-collector-agent                   Created pod: otel-collector-agent-6q48k
23m         Warning   FailedScheduling       pod/cart-6cbfb749cf-x88bh                        0/12 nodes are available: 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 9 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/12 nodes are available: 3 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
23m         Normal    Scheduled              pod/cart-6cbfb749cf-x88bh                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-x88bh to ip-10-0-31-4.ec2.internal
23m         Warning   FailedScheduling       pod/cart-6cbfb749cf-gfdwh                        0/12 nodes are available: 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 9 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/12 nodes are available: 3 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
23m         Normal    Scheduled              pod/otel-collector-agent-6q48k                   Successfully assigned techx-corp-prod/otel-collector-agent-6q48k to ip-10-0-40-214.ec2.internal
23m         Normal    Scheduled              pod/cart-6cbfb749cf-gfdwh                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-gfdwh to ip-10-0-40-214.ec2.internal
23m         Normal    Pulled                 pod/cart-6cbfb749cf-gfdwh                        Successfully pulled image "busybox:1.37.0" in 575ms (575ms including waiting). Image size: 1911349 bytes.
23m         Normal    Pulling                pod/cart-6cbfb749cf-x88bh                        Pulling image "busybox:1.37.0"
23m         Normal    Started                pod/cart-6cbfb749cf-gfdwh                        Container started
23m         Normal    Created                pod/cart-6cbfb749cf-gfdwh                        Container created
23m         Normal    Pulling                pod/cart-6cbfb749cf-gfdwh                        Pulling image "busybox:1.37.0"
23m         Normal    Created                pod/cart-6cbfb749cf-x88bh                        Container created
23m         Normal    Pulling                pod/otel-collector-agent-6q48k                   Pulling image "otel/opentelemetry-collector-contrib:0.151.0"
23m         Normal    Pulled                 pod/cart-6cbfb749cf-x88bh                        Successfully pulled image "busybox:1.37.0" in 637ms (637ms including waiting). Image size: 1911349 bytes.
23m         Normal    Pulling                pod/cart-6cbfb749cf-gfdwh                        Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f"
23m         Normal    Started                pod/cart-6cbfb749cf-x88bh                        Container started
23m         Normal    Killing                pod/load-generator-worker-cdc7df7c5-9qnsc        Stopping container load-generator-worker
23m         Normal    SuccessfulRescale      horizontalpodautoscaler/load-generator-worker    New size: 4; reason: All metrics below target
23m         Normal    SuccessfulDelete       replicaset/load-generator-worker-cdc7df7c5       Deleted pod: load-generator-worker-cdc7df7c5-9qnsc
23m         Normal    ScalingReplicaSet      deployment/load-generator-worker                 Scaled down replica set load-generator-worker-cdc7df7c5 from 5 to 4
23m         Normal    Pulled                 pod/otel-collector-agent-wbrhx                   Successfully pulled image "otel/opentelemetry-collector-contrib:0.151.0" in 5.688s (5.688s including waiting). Image size: 88803327 bytes.
23m         Normal    TaintManagerEviction   pod/cart-6cbfb749cf-gfdwh                        Cancelling deletion of Pod techx-corp-prod/cart-6cbfb749cf-gfdwh
23m         Normal    Created                pod/cart-6cbfb749cf-gfdwh                        Container created
23m         Normal    Created                pod/otel-collector-agent-6q48k                   Container created
23m         Normal    Started                pod/otel-collector-agent-wbrhx                   Container started
23m         Normal    Created                pod/otel-collector-agent-wbrhx                   Container created
23m         Normal    Started                pod/cart-6cbfb749cf-gfdwh                        Container started
23m         Normal    Pulled                 pod/cart-6cbfb749cf-gfdwh                        Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" in 3.369s (3.369s including waiting). Image size: 50820594 bytes.
23m         Normal    Started                pod/otel-collector-agent-6q48k                   Container started
23m         Normal    Pulled                 pod/otel-collector-agent-6q48k                   Successfully pulled image "otel/opentelemetry-collector-contrib:0.151.0" in 5.166s (5.166s including waiting). Image size: 88803327 bytes.
23m         Normal    Pulling                pod/cart-6cbfb749cf-x88bh                        Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f"
23m         Normal    Pulled                 pod/cart-6cbfb749cf-x88bh                        Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" in 1.97s (1.97s including waiting). Image size: 50820594 bytes.
23m         Warning   Unhealthy              pod/cart-6cbfb749cf-gfdwh                        Readiness probe failed: timeout: failed to connect service "10.0.37.240:8080" within 3s: context deadline exceeded
23m         Normal    Created                pod/cart-6cbfb749cf-x88bh                        Container created
23m         Normal    Started                pod/cart-6cbfb749cf-x88bh                        Container started
23m         Warning   Unhealthy              pod/cart-6cbfb749cf-x88bh                        Liveness probe failed: dial tcp 10.0.17.34:8080: connect: connection refused
23m         Warning   Unhealthy              pod/cart-6cbfb749cf-x88bh                        Readiness probe failed: timeout: failed to connect service "10.0.17.34:8080" within 3s: context deadline exceeded
23m         Warning   Unhealthy              pod/cart-6cbfb749cf-x88bh                        Readiness probe failed: timeout: health rpc did not complete within 3s
22m         Normal    Killing                pod/frontend-75c8585d46-f4v4c                    Stopping container frontend
22m         Normal    SuccessfulDelete       replicaset/frontend-75c8585d46                   Deleted pod: frontend-75c8585d46-f4v4c
22m         Normal    SuccessfulRescale      horizontalpodautoscaler/frontend                 New size: 4; reason: All metrics below target
22m         Normal    ScalingReplicaSet      deployment/frontend                              Scaled down replica set frontend-75c8585d46 from 5 to 4
19m         Normal    Killing                pod/cart-6cbfb749cf-gfdwh                        Stopping container cart
19m         Normal    SuccessfulDelete       replicaset/cart-6cbfb749cf                       Deleted pod: cart-6cbfb749cf-gfdwh
18m         Normal    ScalingReplicaSet      deployment/cart                                  Scaled down replica set cart-6cbfb749cf from 8 to 7
18m         Normal    SuccessfulRescale      horizontalpodautoscaler/cart                     New size: 7; reason: All metrics below target
18m         Normal    SuccessfulDelete       replicaset/cart-6cbfb749cf                       Deleted pod: cart-6cbfb749cf-x88bh
18m         Normal    Killing                pod/cart-6cbfb749cf-x88bh                        Stopping container cart
18m         Normal    ScalingReplicaSet      deployment/cart                                  Scaled down replica set cart-6cbfb749cf from 7 to 6
18m         Normal    SuccessfulDelete       replicaset/cart-6cbfb749cf                       Deleted pod: cart-6cbfb749cf-99stt
18m         Normal    Killing                pod/cart-6cbfb749cf-99stt                        Stopping container cart
18m         Normal    SuccessfulCreate       cronjob/runtime-hardening-inventory              Created job runtime-hardening-inventory-29742120
18m         Normal    SuccessfulCreate       job/runtime-hardening-inventory-29742120         Created pod: runtime-hardening-inventory-29742120-b7275
18m         Normal    Scheduled              pod/runtime-hardening-inventory-29742120-b7275   Successfully assigned techx-corp-prod/runtime-hardening-inventory-29742120-b7275 to ip-10-0-36-4.ec2.internal
18m         Normal    Started                pod/runtime-hardening-inventory-29742120-b7275   Container started
18m         Normal    Created                pod/runtime-hardening-inventory-29742120-b7275   Container created
18m         Normal    Pulled                 pod/runtime-hardening-inventory-29742120-b7275   Container image "public.ecr.aws/docker/library/python:3.13.5-alpine3.22" already present on machine and can be accessed by the pod
18m         Normal    Evicted                pod/cart-6cbfb749cf-92hdl                        Evicted pod: Underutilized
18m         Normal    Nominated              pod/cart-6cbfb749cf-92hdl                        Pod should schedule on: nodeclaim/stateless-spot-k9sr8, node/ip-10-0-31-4.ec2.internal
18m         Normal    Killing                pod/cart-6cbfb749cf-92hdl                        Stopping container cart
18m         Normal    Pulling                pod/cart-6cbfb749cf-dxs96                        Pulling image "busybox:1.37.0"
18m         Normal    Scheduled              pod/cart-6cbfb749cf-dxs96                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-dxs96 to ip-10-0-40-214.ec2.internal
18m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-dxs96
18m         Normal    Started                pod/cart-6cbfb749cf-dxs96                        Container started
18m         Normal    Pulled                 pod/cart-6cbfb749cf-dxs96                        Container image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" already present on machine and can be accessed by the pod
18m         Normal    Created                pod/cart-6cbfb749cf-dxs96                        Container created
18m         Normal    Started                pod/cart-6cbfb749cf-dxs96                        Container started
18m         Normal    Pulled                 pod/cart-6cbfb749cf-dxs96                        Successfully pulled image "busybox:1.37.0" in 247ms (247ms including waiting). Image size: 1911349 bytes.
18m         Normal    Created                pod/cart-6cbfb749cf-dxs96                        Container created
18m         Warning   Unhealthy              pod/cart-6cbfb749cf-dxs96                        Readiness probe failed: timeout: failed to connect service "10.0.37.243:8080" within 3s: context deadline exceeded
18m         Normal    SawCompletedJob        cronjob/runtime-hardening-inventory              Saw completed job: runtime-hardening-inventory-29742120, condition: Failed
18m         Warning   BackoffLimitExceeded   job/runtime-hardening-inventory-29742120         Job has reached the specified backoff limit
18m         Normal    Evicted                pod/otel-collector-agent-k8d2p                   Evicted pod: Underutilized
18m         Normal    Killing                pod/otel-collector-agent-k8d2p                   Stopping container opentelemetry-collector
17m         Normal    Nominated              pod/cart-6cbfb749cf-swtk9                        Pod should schedule on: nodeclaim/stateless-spot-k9sr8, node/ip-10-0-31-4.ec2.internal
17m         Normal    Nominated              pod/checkout-5f59884d8-c2dbn                     Pod should schedule on: nodeclaim/stateless-spot-k9sr8, node/ip-10-0-31-4.ec2.internal
17m         Normal    Killing                pod/cart-6cbfb749cf-swtk9                        Stopping container cart
17m         Normal    Scheduled              pod/checkout-5f59884d8-69fnj                     Successfully assigned techx-corp-prod/checkout-5f59884d8-69fnj to ip-10-0-31-4.ec2.internal
17m         Normal    Pulling                pod/cart-6cbfb749cf-d8mm5                        Pulling image "busybox:1.37.0"
17m         Normal    Pulled                 pod/cart-6cbfb749cf-d8mm5                        Successfully pulled image "busybox:1.37.0" in 240ms (240ms including waiting). Image size: 1911349 bytes.
17m         Normal    Evicted                pod/cart-6cbfb749cf-swtk9                        Evicted pod: Underutilized
17m         Normal    SuccessfulCreate       replicaset/checkout-5f59884d8                    Created pod: checkout-5f59884d8-69fnj
17m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-d8mm5
17m         Normal    Evicted                pod/checkout-5f59884d8-c2dbn                     Evicted pod: Underutilized
17m         Normal    Killing                pod/checkout-5f59884d8-c2dbn                     Stopping container checkout
17m         Normal    Scheduled              pod/cart-6cbfb749cf-d8mm5                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-d8mm5 to ip-10-0-31-4.ec2.internal
17m         Normal    Pulling                pod/checkout-5f59884d8-69fnj                     Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f"
17m         Normal    Started                pod/cart-6cbfb749cf-d8mm5                        Container started
17m         Normal    Created                pod/cart-6cbfb749cf-d8mm5                        Container created
17m         Normal    Pulled                 pod/cart-6cbfb749cf-d8mm5                        Container image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" already present on machine and can be accessed by the pod
17m         Normal    Started                pod/cart-6cbfb749cf-d8mm5                        Container started
17m         Normal    Created                pod/cart-6cbfb749cf-d8mm5                        Container created
17m         Normal    Pulled                 pod/checkout-5f59884d8-69fnj                     Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f" in 1.21s (1.21s including waiting). Image size: 9514321 bytes.
17m         Normal    Created                pod/checkout-5f59884d8-69fnj                     Container created
17m         Normal    Started                pod/checkout-5f59884d8-69fnj                     Container started
17m         Warning   Unhealthy              pod/cart-6cbfb749cf-d8mm5                        Readiness probe failed: timeout: failed to connect service "10.0.24.192:8080" within 3s: context deadline exceeded
17m         Warning   Unhealthy              pod/cart-6cbfb749cf-d8mm5                        Readiness probe failed: timeout: health rpc did not complete within 3s
17m         Normal    Killing                pod/otel-collector-agent-mxjcv                   Stopping container opentelemetry-collector
17m         Normal    Evicted                pod/otel-collector-agent-mxjcv                   Evicted pod: Underutilized
17m         Normal    Scheduled              pod/currency-54d784bd7b-mjrtn                    Successfully assigned techx-corp-prod/currency-54d784bd7b-mjrtn to ip-10-0-40-214.ec2.internal
17m         Normal    Scheduled              pod/product-reviews-58686f5fd9-qs6jg             Successfully assigned techx-corp-prod/product-reviews-58686f5fd9-qs6jg to ip-10-0-37-197.ec2.internal
17m         Normal    Nominated              pod/email-746cdfc565-s9dpt                       Pod should schedule on: nodeclaim/stateless-spot-bwp68, node/ip-10-0-36-190.ec2.internal
17m         Normal    Nominated              pod/frontend-75c8585d46-7kfzl                    Pod should schedule on: nodeclaim/stateless-spot-qsbf2, node/ip-10-0-37-197.ec2.internal
17m         Normal    Scheduled              pod/cart-6cbfb749cf-zghqz                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-zghqz to ip-10-0-37-197.ec2.internal
17m         Normal    Killing                pod/ad-7998665c4b-btnwx                          Stopping container ad
17m         Normal    Evicted                pod/ad-7998665c4b-btnwx                          Evicted pod: Underutilized
17m         Normal    Scheduled              pod/ad-7998665c4b-g5hc8                          Successfully assigned techx-corp-prod/ad-7998665c4b-g5hc8 to ip-10-0-40-214.ec2.internal
17m         Normal    Killing                pod/shipping-567ccf6f47-lxbdp                    Stopping container shipping
17m         Normal    Nominated              pod/shipping-567ccf6f47-lxbdp                    Pod should schedule on: nodeclaim/stateless-spot-bwp68, node/ip-10-0-36-190.ec2.internal
17m         Normal    Evicted                pod/accounting-69d676466f-f8rm9                  Evicted pod: Underutilized
17m         Normal    Scheduled              pod/shipping-567ccf6f47-jpz6z                    Successfully assigned techx-corp-prod/shipping-567ccf6f47-jpz6z to ip-10-0-40-214.ec2.internal
17m         Normal    Evicted                pod/cart-6cbfb749cf-ft5cb                        Evicted pod: Underutilized
17m         Normal    Evicted                pod/currency-54d784bd7b-s94g8                    Evicted pod: Underutilized
17m         Normal    Scheduled              pod/accounting-69d676466f-6jtpf                  Successfully assigned techx-corp-prod/accounting-69d676466f-6jtpf to ip-10-0-31-4.ec2.internal
17m         Normal    Killing                pod/accounting-69d676466f-f8rm9                  Stopping container accounting
17m         Normal    Nominated              pod/accounting-69d676466f-f8rm9                  Pod should schedule on: nodeclaim/stateless-spot-mcwmq, node/ip-10-0-16-230.ec2.internal
17m         Normal    Scheduled              pod/checkout-5f59884d8-ltz7v                     Successfully assigned techx-corp-prod/checkout-5f59884d8-ltz7v to ip-10-0-40-214.ec2.internal
17m         Normal    SuccessfulCreate       replicaset/frontend-75c8585d46                   Created pod: frontend-75c8585d46-k6927
17m         Normal    Nominated              pod/cart-6cbfb749cf-ft5cb                        Pod should schedule on: nodeclaim/stateless-spot-qsbf2, node/ip-10-0-37-197.ec2.internal
17m         Normal    Killing                pod/frontend-75c8585d46-7kfzl                    Stopping container frontend
17m         Normal    SuccessfulCreate       replicaset/product-reviews-58686f5fd9            Created pod: product-reviews-58686f5fd9-qs6jg
17m         Normal    Killing                pod/email-746cdfc565-s9dpt                       Stopping container email
17m         Normal    Evicted                pod/email-746cdfc565-s9dpt                       Evicted pod: Underutilized
17m         Normal    Killing                pod/currency-54d784bd7b-s94g8                    Stopping container currency
17m         Normal    Nominated              pod/ad-7998665c4b-btnwx                          Pod should schedule on: nodeclaim/stateless-spot-bwp68, node/ip-10-0-36-190.ec2.internal
17m         Normal    Nominated              pod/currency-54d784bd7b-s94g8                    Pod should schedule on: nodeclaim/stateless-spot-bwp68, node/ip-10-0-36-190.ec2.internal
17m         Normal    Scheduled              pod/frontend-75c8585d46-k6927                    Successfully assigned techx-corp-prod/frontend-75c8585d46-k6927 to ip-10-0-40-214.ec2.internal
17m         Normal    SuccessfulCreate       replicaset/accounting-69d676466f                 Created pod: accounting-69d676466f-6jtpf
17m         Normal    Nominated              pod/product-reviews-58686f5fd9-dqgt6             Pod should schedule on: nodeclaim/stateless-spot-bwp68, node/ip-10-0-36-190.ec2.internal
17m         Normal    Killing                pod/product-reviews-58686f5fd9-dqgt6             Stopping container product-reviews
17m         Normal    Evicted                pod/product-reviews-58686f5fd9-dqgt6             Evicted pod: Underutilized
17m         Normal    Evicted                pod/frontend-75c8585d46-7kfzl                    Evicted pod: Underutilized
17m         Normal    Evicted                pod/checkout-5f59884d8-9nlwh                     Evicted pod: Underutilized
17m         Normal    Killing                pod/checkout-5f59884d8-9nlwh                     Stopping container checkout
17m         Normal    SuccessfulCreate       replicaset/checkout-5f59884d8                    Created pod: checkout-5f59884d8-ltz7v
17m         Normal    SuccessfulCreate       replicaset/email-746cdfc565                      Created pod: email-746cdfc565-59xwn
17m         Normal    Scheduled              pod/email-746cdfc565-59xwn                       Successfully assigned techx-corp-prod/email-746cdfc565-59xwn to ip-10-0-40-214.ec2.internal
17m         Normal    Nominated              pod/checkout-5f59884d8-9nlwh                     Pod should schedule on: nodeclaim/stateless-spot-8nqqg, node/ip-10-0-40-214.ec2.internal
17m         Normal    Evicted                pod/shipping-567ccf6f47-lxbdp                    Evicted pod: Underutilized
17m         Normal    Killing                pod/cart-6cbfb749cf-ft5cb                        Stopping container cart
17m         Normal    SuccessfulCreate       replicaset/shipping-567ccf6f47                   Created pod: shipping-567ccf6f47-jpz6z
17m         Normal    SuccessfulCreate       replicaset/ad-7998665c4b                         Created pod: ad-7998665c4b-g5hc8
17m         Normal    SuccessfulCreate       replicaset/currency-54d784bd7b                   Created pod: currency-54d784bd7b-mjrtn
17m         Normal    Pulling                pod/ad-7998665c4b-g5hc8                          Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/ad:sha-fa6cb8f"
