LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
28m         Normal    SuccessfulRescale      horizontalpodautoscaler/checkout                 New size: 4; reason: cpu resource utilization (percentage of request) above target
28m         Normal    SuccessfulCreate       replicaset/checkout-5f59884d8                    Created pod: checkout-5f59884d8-c2dbn
28m         Normal    SawCompletedJob        cronjob/runtime-hardening-inventory              Saw completed job: runtime-hardening-inventory-29742110, condition: Failed
28m         Normal    Nominated              pod/checkout-5f59884d8-c2dbn                     Pod should schedule on: nodeclaim/stateless-spot-mcwmq
28m         Warning   BackoffLimitExceeded   job/runtime-hardening-inventory-29742110         Job has reached the specified backoff limit
28m         Normal    NotTriggerScaleUp      pod/checkout-5f59884d8-c2dbn                     pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
28m         Normal    ScalingReplicaSet      deployment/cart                                  Scaled up replica set cart-6cbfb749cf from 2 to 3
28m         Normal    SuccessfulRescale      horizontalpodautoscaler/cart                     New size: 3; reason: cpu resource utilization (percentage of request) above target
28m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-bw56q
28m         Normal    Scheduled              pod/cart-6cbfb749cf-bw56q                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-bw56q to ip-10-0-36-190.ec2.internal
28m         Normal    Created                pod/cart-6cbfb749cf-bw56q                        Container created
28m         Normal    Started                pod/cart-6cbfb749cf-bw56q                        Container started
28m         Normal    Pulling                pod/cart-6cbfb749cf-bw56q                        Pulling image "busybox:1.37.0"
28m         Normal    Pulled                 pod/cart-6cbfb749cf-bw56q                        Successfully pulled image "busybox:1.37.0" in 145ms (145ms including waiting). Image size: 1911349 bytes.
28m         Normal    Created                pod/cart-6cbfb749cf-bw56q                        Container created
28m         Normal    Started                pod/cart-6cbfb749cf-bw56q                        Container started
28m         Normal    Pulled                 pod/cart-6cbfb749cf-bw56q                        Container image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" already present on machine and can be accessed by the pod
28m         Normal    SuccessfulCreate       replicaset/frontend-75c8585d46                   Created pod: frontend-75c8585d46-f4jh8
28m         Normal    SuccessfulRescale      horizontalpodautoscaler/frontend                 New size: 5; reason: cpu resource utilization (percentage of request) above target
28m         Normal    ScalingReplicaSet      deployment/frontend                              Scaled up replica set frontend-75c8585d46 from 3 to 5
28m         Warning   FailedScheduling       pod/frontend-75c8585d46-f4v4c                    0/6 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/6 nodes are available: 2 Preemption is not helpful for scheduling, 4 No preemption victims found for incoming pod.
28m         Warning   FailedScheduling       pod/frontend-75c8585d46-f4jh8                    0/6 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/6 nodes are available: 2 Preemption is not helpful for scheduling, 4 No preemption victims found for incoming pod.
28m         Normal    SuccessfulCreate       replicaset/frontend-75c8585d46                   Created pod: frontend-75c8585d46-f4v4c
28m         Normal    Nominated              pod/frontend-75c8585d46-f4v4c                    Pod should schedule on: nodeclaim/stateless-spot-mcwmq
28m         Normal    Nominated              pod/frontend-75c8585d46-f4jh8                    Pod should schedule on: nodeclaim/stateless-spot-57rr2
28m         Normal    NotTriggerScaleUp      pod/frontend-75c8585d46-f4jh8                    pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
28m         Normal    NotTriggerScaleUp      pod/frontend-75c8585d46-f4v4c                    pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
28m         Normal    ScalingReplicaSet      deployment/cart                                  Scaled up replica set cart-6cbfb749cf from 3 to 4
28m         Normal    SuccessfulRescale      horizontalpodautoscaler/cart                     New size: 4; reason: cpu resource utilization (percentage of request) above target
28m         Warning   FailedScheduling       pod/cart-6cbfb749cf-ncznm                        0/6 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/6 nodes are available: 2 Preemption is not helpful for scheduling, 4 No preemption victims found for incoming pod.
28m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-ncznm
28m         Normal    Nominated              pod/cart-6cbfb749cf-ncznm                        Pod should schedule on: nodeclaim/stateless-spot-57rr2
28m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-ncznm                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
28m         Warning   FailedScheduling       pod/frontend-75c8585d46-f4v4c                    0/7 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/7 nodes are available: 3 Preemption is not helpful for scheduling, 4 No preemption victims found for incoming pod.
28m         Warning   FailedScheduling       pod/checkout-5f59884d8-c2dbn                     0/7 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/7 nodes are available: 3 Preemption is not helpful for scheduling, 4 No preemption victims found for incoming pod.
28m         Warning   FailedScheduling       pod/cart-6cbfb749cf-ncznm                        0/7 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/7 nodes are available: 3 Preemption is not helpful for scheduling, 4 No preemption victims found for incoming pod.
28m         Warning   FailedScheduling       pod/frontend-75c8585d46-f4jh8                    0/7 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/7 nodes are available: 3 Preemption is not helpful for scheduling, 4 No preemption victims found for incoming pod.
27m         Normal    ScalingReplicaSet      deployment/checkout                              Scaled up replica set checkout-5f59884d8 from 4 to 5
27m         Normal    SuccessfulRescale      horizontalpodautoscaler/checkout                 New size: 5; reason: cpu resource utilization (percentage of request) above target
27m         Normal    SuccessfulCreate       replicaset/checkout-5f59884d8                    Created pod: checkout-5f59884d8-2wqb9
27m         Normal    Nominated              pod/checkout-5f59884d8-2wqb9                     Pod should schedule on: nodeclaim/stateless-spot-57rr2, node/ip-10-0-22-61.ec2.internal
27m         Normal    NotTriggerScaleUp      pod/checkout-5f59884d8-2wqb9                     pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
27m         Warning   FailedScheduling       pod/frontend-75c8585d46-f4v4c                    0/8 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/8 nodes are available: 3 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod.
27m         Warning   FailedScheduling       pod/cart-6cbfb749cf-ncznm                        0/8 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/8 nodes are available: 4 No preemption victims found for incoming pod, 4 Preemption is not helpful for scheduling.
27m         Warning   FailedScheduling       pod/frontend-75c8585d46-f4jh8                    0/8 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/8 nodes are available: 4 No preemption victims found for incoming pod, 4 Preemption is not helpful for scheduling.
27m         Normal    Scheduled              pod/checkout-5f59884d8-2wqb9                     Successfully assigned techx-corp-prod/checkout-5f59884d8-2wqb9 to ip-10-0-16-230.ec2.internal
27m         Normal    Scheduled              pod/frontend-75c8585d46-f4jh8                    Successfully assigned techx-corp-prod/frontend-75c8585d46-f4jh8 to ip-10-0-16-230.ec2.internal
27m         Normal    Scheduled              pod/cart-6cbfb749cf-ncznm                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-ncznm to ip-10-0-16-230.ec2.internal
27m         Warning   FailedScheduling       pod/checkout-5f59884d8-c2dbn                     0/8 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/8 nodes are available: 4 No preemption victims found for incoming pod, 4 Preemption is not helpful for scheduling.
27m         Warning   FailedScheduling       pod/frontend-75c8585d46-f4v4c                    0/8 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/8 nodes are available: 4 No preemption victims found for incoming pod, 4 Preemption is not helpful for scheduling.
27m         Warning   FailedScheduling       pod/checkout-5f59884d8-c2dbn                     0/8 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/8 nodes are available: 3 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod.
27m         Normal    SuccessfulCreate       daemonset/otel-collector-agent                   Created pod: otel-collector-agent-qwlh9
27m         Normal    Scheduled              pod/otel-collector-agent-qwlh9                   Successfully assigned techx-corp-prod/otel-collector-agent-qwlh9 to ip-10-0-16-230.ec2.internal
27m         Warning   FailedScheduling       pod/checkout-5f59884d8-2wqb9                     0/8 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/8 nodes are available: 4 No preemption victims found for incoming pod, 4 Preemption is not helpful for scheduling.
27m         Normal    Pulling                pod/otel-collector-agent-qwlh9                   Pulling image "otel/opentelemetry-collector-contrib:0.151.0"
27m         Normal    Pulling                pod/cart-6cbfb749cf-ncznm                        Pulling image "busybox:1.37.0"
27m         Normal    Pulling                pod/frontend-75c8585d46-f4jh8                    Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/frontend:sha-fa6cb8f"
27m         Normal    Pulling                pod/checkout-5f59884d8-2wqb9                     Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f"
27m         Normal    Created                pod/cart-6cbfb749cf-ncznm                        Container created
27m         Normal    Pulled                 pod/cart-6cbfb749cf-ncznm                        Successfully pulled image "busybox:1.37.0" in 2.086s (2.086s including waiting). Image size: 1911349 bytes.
27m         Normal    Started                pod/cart-6cbfb749cf-ncznm                        Container started
27m         Normal    SuccessfulCreate       daemonset/otel-collector-agent                   Created pod: otel-collector-agent-mxjcv
27m         Normal    Scheduled              pod/frontend-75c8585d46-f4v4c                    Successfully assigned techx-corp-prod/frontend-75c8585d46-f4v4c to ip-10-0-22-61.ec2.internal
27m         Normal    Scheduled              pod/checkout-5f59884d8-c2dbn                     Successfully assigned techx-corp-prod/checkout-5f59884d8-c2dbn to ip-10-0-22-61.ec2.internal
27m         Normal    Scheduled              pod/otel-collector-agent-mxjcv                   Successfully assigned techx-corp-prod/otel-collector-agent-mxjcv to ip-10-0-22-61.ec2.internal
27m         Normal    Pulling                pod/otel-collector-agent-mxjcv                   Pulling image "otel/opentelemetry-collector-contrib:0.151.0"
27m         Normal    Pulling                pod/checkout-5f59884d8-c2dbn                     Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f"
27m         Normal    TaintManagerEviction   pod/checkout-5f59884d8-2wqb9                     Cancelling deletion of Pod techx-corp-prod/checkout-5f59884d8-2wqb9
27m         Normal    TaintManagerEviction   pod/checkout-5f59884d8-c2dbn                     Cancelling deletion of Pod techx-corp-prod/checkout-5f59884d8-c2dbn
27m         Normal    TaintManagerEviction   pod/frontend-75c8585d46-f4jh8                    Cancelling deletion of Pod techx-corp-prod/frontend-75c8585d46-f4jh8
27m         Normal    TaintManagerEviction   pod/cart-6cbfb749cf-ncznm                        Cancelling deletion of Pod techx-corp-prod/cart-6cbfb749cf-ncznm
