NAME                                             READY   STATUS    RESTARTS        AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
frontend-proxy-554895c9dd-jhfj6                  1/1     Running   0               19m     10.0.46.108   ip-10-0-36-4.ec2.internal     <none>           <none>
grafana-756df586d5-lnmqr                         2/2     Running   0               38h     10.0.40.13    ip-10-0-36-4.ec2.internal     <none>           <none>
image-provider-7754b8cf54-96rph                  1/1     Running   0               18m     10.0.27.197   ip-10-0-29-169.ec2.internal   <none>           <none>
image-provider-7754b8cf54-fg77s                  1/1     Running   0               19m     10.0.45.117   ip-10-0-36-190.ec2.internal   <none>           <none>
jaeger-7d5bbc694-5q9xj                           1/1     Running   0               6h24m   10.0.26.134   ip-10-0-27-114.ec2.internal   <none>           <none>
llm-558c7745db-285pv                             1/1     Running   0               8m6s    10.0.23.128   ip-10-0-28-244.ec2.internal   <none>           <none>
load-generator-6f8d94d894-fwss4                  1/1     Running   0               19m     10.0.46.99    ip-10-0-36-4.ec2.internal     <none>           <none>
load-generator-worker-cdc7df7c5-9g8l5            1/1     Running   0               8m6s    10.0.23.133   ip-10-0-28-244.ec2.internal   <none>           <none>
metrics-server-56f6f67555-zcd64                  1/1     Running   1 (6h24m ago)   6h24m   10.0.40.1     ip-10-0-36-4.ec2.internal     <none>           <none>
opensearch-0                                     1/1     Running   0               18m     10.0.46.109   ip-10-0-36-4.ec2.internal     <none>           <none>
otel-collector-agent-246dl                       1/1     Running   0               17h     10.0.45.1     ip-10-0-46-45.ec2.internal    <none>           <none>
otel-collector-agent-4xbkd                       1/1     Running   0               38h     10.0.40.0     ip-10-0-36-4.ec2.internal     <none>           <none>
otel-collector-agent-5c5fq                       1/1     Running   0               16m     10.0.23.129   ip-10-0-28-244.ec2.internal   <none>           <none>
otel-collector-agent-5lrtg                       1/1     Running   0               139m    10.0.45.114   ip-10-0-36-190.ec2.internal   <none>           <none>
otel-collector-agent-x7l6h                       1/1     Running   0               25h     10.0.26.132   ip-10-0-27-114.ec2.internal   <none>           <none>
otel-collector-agent-xvzg9                       1/1     Running   0               14h     10.0.25.129   ip-10-0-29-169.ec2.internal   <none>           <none>
payment-6cb6c5999c-txbrb                         1/1     Running   0               19m     10.0.45.118   ip-10-0-36-190.ec2.internal   <none>           <none>
payment-6cb6c5999c-vt8jv                         1/1     Running   0               18m     10.0.27.199   ip-10-0-29-169.ec2.internal   <none>           <none>
product-catalog-d84f55998-hp862                  1/1     Running   0               18m     10.0.27.194   ip-10-0-29-169.ec2.internal   <none>           <none>
product-catalog-d84f55998-hztl5                  1/1     Running   0               19m     10.0.45.119   ip-10-0-36-190.ec2.internal   <none>           <none>
product-reviews-58686f5fd9-dqgt6                 1/1     Running   0               16m     10.0.45.11    ip-10-0-46-45.ec2.internal    <none>           <none>
product-reviews-58686f5fd9-n2dhb                 1/1     Running   0               19m     10.0.18.224   ip-10-0-29-169.ec2.internal   <none>           <none>
prometheus-795bcb887b-vt6xv                      1/1     Running   0               6h24m   10.0.26.142   ip-10-0-27-114.ec2.internal   <none>           <none>
prometheus-adapter-cfff85f69-mbr8q               1/1     Running   0               6h24m   10.0.46.101   ip-10-0-36-4.ec2.internal     <none>           <none>
quote-6f568d756c-8xn5s                           1/1     Running   0               19m     10.0.45.123   ip-10-0-36-190.ec2.internal   <none>           <none>
quote-6f568d756c-gw9n4                           1/1     Running   0               18m     10.0.25.134   ip-10-0-29-169.ec2.internal   <none>           <none>
recommendation-5f65666784-bvw2n                  1/1     Running   0               18m     10.0.27.198   ip-10-0-29-169.ec2.internal   <none>           <none>
recommendation-5f65666784-ksxkg                  1/1     Running   0               19m     10.0.45.122   ip-10-0-36-190.ec2.internal   <none>           <none>
shipping-567ccf6f47-jcxb4                        1/1     Running   0               18m     10.0.18.225   ip-10-0-29-169.ec2.internal   <none>           <none>
shipping-567ccf6f47-lxbdp                        1/1     Running   0               19m     10.0.45.5     ip-10-0-46-45.ec2.internal    <none>           <none>
shopping-copilot-b4b49f685-xfx95                 1/1     Running   0               9m29s   10.0.23.131   ip-10-0-28-244.ec2.internal   <none>           <none>
techx-corp-kube-state-metrics-56c7fd85b9-dvx4r   1/1     Running   0               6h24m   10.0.26.131   ip-10-0-27-114.ec2.internal   <none>           <none>
