Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7458,0,8,12.63011643789218,5.120574001921341,378.5076359999948,11816.0,3.837945160023756,0.0,8,9,10,11,17,34,81,100,190,380,380
GET,/api/cart,23058,0,5,9.08458814029524,3.69085000056657,277.09499999764375,24.0,11.865827232478917,0.0,5,6,7,7,11,22,62,91,170,230,280
POST,/api/cart,46070,0,8,11.443927239083644,5.3239730004861485,377.59089000246604,118.20490557846755,23.707982505000594,0.0,8,9,9,10,14,24,64,99,180,270,380
POST,/api/checkout,15480,0,50,62.49907498818125,28.60472699831007,843.1501859995478,1638.7904392764858,7.966129133436275,0.0,50,61,70,79,110,140,190,210,330,650,840
GET,/api/data/,3219,0,7,11.212276484917787,5.081395000161137,202.3557440006698,203.20161540851197,1.656522589181613,0.0,7,8,9,10,15,29,67,94,170,200,200
GET,/api/data/?contextKeys=accessories,3321,0,7,12.044315315257323,5.112831000587903,362.6176560028398,303.0,1.709012587347666,0.0,7,8,9,10,15,31,77,110,220,360,360
GET,/api/data/?contextKeys=assembly,3319,0,7,10.986512506156641,4.944229000102496,285.623427000246,89.0,1.7079833716973511,0.0,7,8,9,10,14,26,65,87,180,290,290
GET,/api/data/?contextKeys=binoculars,3373,0,7,11.491744900678347,4.985747000318952,214.74068300085492,83.0,1.73577219425585,0.0,7,8,9,10,14,26,69,110,190,210,210
GET,/api/data/?contextKeys=books,3255,0,7,11.131343998476252,5.216098001255887,215.4992139985552,202.56036866359446,1.6750484708872788,0.0,7,8,9,10,14,27,62,94,190,220,220
GET,/api/data/?contextKeys=telescopes,3316,0,7,11.32988964895294,5.150111999682849,188.3561569993617,106.0,1.706439548221879,0.0,7,8,9,10,14,23,67,110,180,190,190
GET,/api/data/?contextKeys=travel,3329,0,7,11.252704204886646,5.156343999260571,184.4871620014601,129.0,1.7131294499489251,0.0,7,8,9,10,14,26,66,100,170,180,180
GET,/api/product-reviews/0PUK6V6EV0,1564,0,28,37.38518635483949,23.0771390015434,371.4356960008445,1038.0,0.8048466385461456,0.0,28,31,33,36,55,90,150,180,310,370,370
GET,/api/product-reviews/1YMWWN1N4O,1515,0,28,37.025476780169384,22.651069997664308,332.11504299833905,1073.0,0.7796308551134339,0.0,28,31,34,36,51,90,140,180,310,330,330
GET,/api/product-reviews/2ZYFJ3GM2N,1539,0,29,38.27682221502991,22.493339998618467,401.9966439991549,1049.0,0.7919814429172111,0.0,29,32,34,37,54,110,150,190,260,400,400
