Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7991,0,8,14.129992967552193,5.332564000127604,442.63523599875043,11816.0,4.691598198807756,0.0,8,10,11,12,21,47,92,130,200,440,440
GET,/api/cart,23881,0,6,10.576289982112849,3.5932989994762465,252.03598699954455,24.0,14.02078045122363,0.0,6,6,7,8,14,34,80,110,190,250,250
POST,/api/cart,47235,0,8,12.597708698362228,5.232028001046274,520.470199000556,118.43893299460146,27.732153788097154,0.0,8,9,10,11,16,30,83,110,190,310,520
POST,/api/checkout,15791,0,55,69.30849875556424,29.409506998490542,531.0248610003327,1649.3531125324553,9.271058335298871,0.0,55,68,80,91,120,160,200,230,380,520,530
GET,/api/data/,3391,0,7,13.477404520510412,4.92590000067139,343.7736710002355,202.58684753759954,1.9908909388258167,0.0,7,8,10,11,17,43,93,140,270,340,340
GET,/api/data/?contextKeys=accessories,3468,0,8,12.974849943149701,5.0860109986388125,251.73158399775275,303.0,2.0360984299168186,0.0,8,9,10,11,18,36,91,130,190,250,250
GET,/api/data/?contextKeys=assembly,3433,0,8,13.583583032044453,4.857408999669133,545.5300729990995,89.0,2.0155495703299997,0.0,8,9,10,11,18,43,91,130,320,550,550
GET,/api/data/?contextKeys=binoculars,3384,0,8,13.664404487572975,5.131531997903949,243.58910099908826,83.0,1.9867811669084527,0.0,8,9,10,11,19,44,100,140,200,240,240
GET,/api/data/?contextKeys=books,3377,0,8,13.265422047068375,4.892190998361912,236.9668309984263,202.683150725496,1.982671394991089,0.0,8,9,10,11,18,39,95,130,210,240,240
GET,/api/data/?contextKeys=telescopes,3393,0,8,13.50054956673695,4.991633999452461,290.13422099887975,106.0,1.992065159373635,0.0,8,9,10,11,18,47,91,130,220,290,290
GET,/api/data/?contextKeys=travel,3377,0,8,13.422602694432271,5.14004499927978,248.2465309985855,129.0,1.982671394991089,0.0,8,9,10,11,20,46,89,120,200,250,250
GET,/api/product-reviews/0PUK6V6EV0,1587,0,29,40.98246754817995,22.675475000141887,293.74031300176284,1038.0,0.9317440046937691,0.0,29,32,36,40,70,120,160,200,290,290,290
GET,/api/product-reviews/1YMWWN1N4O,1532,0,29,40.16893790932774,22.66110100026708,326.2746809996315,1073.0,0.8994529396287676,0.0,29,32,35,39,66,120,160,190,260,330,330
GET,/api/product-reviews/2ZYFJ3GM2N,1623,0,30,41.45369178868927,22.290287997748237,412.39392600255087,1049.0,0.9528799745544974,0.0,30,33,36,40,67,120,170,200,390,410,410
GET,/api/product-reviews/66VCHSJNUP,1630,0,29,39.176292707953436,22.30733699980192,263.76983299996937,1043.0,0.9569897464718611,0.0,29,32,35,38,63,110,150,190,240,260,260
GET,/api/product-reviews/6E92ZMYYFZ,1531,0,29,39.17901858645656,22.587270999792963,326.92804700127454,1076.0,0.8988658293548585,0.0,29,32,35,38,59,110,160,180,300,330,330
GET,/api/product-reviews/9SIQT8TOJO,1601,0,29,39.33724035288116,22.358770998835098,388.11791600164725,1060.0,0.9399635485284967,0.0,29,33,36,40,63,110,140,170,290,390,390
GET,/api/product-reviews/HQTGWGPNH4,1620,0,29,40.76512731297291,22.394693998649018,309.4313039982808,1081.0,0.95111864373277,0.0,29,33,37,40,71,110,170,210,280,310,310
GET,/api/product-reviews/L9ECAV7KIM,1563,0,29,38.62173904991176,22.071041999879526,423.3180259980145,993.0,0.9176533581199503,0.0,29,32,35,38,58,97,150,190,290,420,420
